CUST,PRNCPL,SLSMN
S11348,F03,R29
S07784,F03,R40
S11299,F03,R23
S10654,F03,R23
S07590,F03,R23
S11365,F03,R24
S11007,F03,Z14
S08730,F03,R40
S10092,F03,R23
S03144,F03,R40
S07141,F03,R23
S09717,F03,R40
S10762,F03,R36
S10716,F03,R36
S10503,F03,Z14
S11353,F03,R40
S02289,F03,R29
S11009,F03,Z14
S11668,F03,R24
S09044,F03,R24
S09145,F03,R36
S10661,F03,R40
S11319,F03,R40
S09822,F03,R40
S10022,F03,R23
S07347,F03,R40
S11035,F03,Z14
S02319,F03,R24
S10368,F03,R36
S11230,F03,R40
S11531,F03,R24
S10674,F03,R24
S11022,F03,R40
S11257,F03,R40
S06876,F03,R24
S04473,F03,R36
S11006,F03,Z14
S02185,F03,Z14
S11435,F03,R36
S10879,F03,R23
S10084,F03,R29
S10309,F03,R24
S11286,F03,R23
S10814,F03,R36
S10775,F03,R23
S09062,F03,R40
S04531,F03,Z14
S08997,F03,R36
S07472,F03,R40
S11386,F03,R40
S02723,F03,R36
S08695,F03,Z14
S10480,F03,R24
S11328,F03,R36
S00969,F03,R29
S01589,F03,R23
S10355,F03,R40
S04713,F03,R36
S10618,F03,R29
S09658,F03,R23
S05842,F03,R36
S09255,F03,Z14
S03691,F03,R40
S00453,F03,Z14
S10700,F03,R36
S10867,F03,R40
S10189,F03,R23
S04144,F03,R29
S06652,F03,R23
S11747,F03,R29
S10798,F03,Z14
S02210,F03,R29
S10635,F03,R24
S01142,F03,R24
S00636,F03,Z14
S02230,F03,R36
S06794,F03,R29
S02426,F03,R40
S10949,F03,R29
S11523,F03,R24
S07343,F03,R40
S10598,F03,R24
S11211,F03,R24
S07113,F03,R29
S01224,F03,R24
S10013,F03,R36
S11387,F03,R40
S10288,F03,R36
S10689,F03,R36
S11371,F03,R40
S11284,F03,R24
S10847,F03,R36
S01827,F03,R23
S08891,F03,R29
S10844,F03,R36
S09462,F03,Z14
S09704,F03,R29
S06856,F03,R24
S02613,F03,R29
S10734,F03,R24
S01225,F03,R24
S10173,F03,Z14
S11665,F03,R36
S10633,F03,R36
S09353,F03,R36
S10952,F03,R29
S07558,F03,R24
S09696,F03,R36
S03004,F03,R40
S07173,F03,R36
S11124,F03,Z14
S00587,F03,R40
S11683,F03,R24
S10360,F03,R24
S03708,F03,Z14
S07322,F03,R29
S11434,F03,R36
S09067,F03,Z14
S03098,F03,R29
S11357,F03,R24
S09191,F03,R23
S03069,F03,R24
S10519,F03,Z14
S10418,F03,R24
S10595,F03,R23
S11263,F03,R36
S10918,F03,R23
S09629,F03,Z14
S06552,F03,R23
S11052,F03,R36
S10071,F03,R40
S03403,F03,R29
S11666,F03,R24
S11897,F03,R23
S11949,F03,R24
S04205,F03,Z14
S10951,F03,R29
S04447,F03,R29
S11943,F03,R36
S10278,F03,R29
S01141,F03,R24
S02927,F03,Z14
S09354,F03,Z14
S12041,F03,R23
S11979,F03,Z14
S10127,F03,R29
S01005,F03,R23
S01958,F03,R40
S10010,F03,R36
S01374,F03,R36
S07099,F03,R24
S10266,F03,R36
S10989,F03,R40
S08907,F03,R40
S02404,F03,R23
S11233,F03,Z14
S10826,F03,R24
S08092,F03,R24
S10230,F03,R40
S11420,F03,R23
S07372,F03,R29
S03591,F03,R24
S01173,F03,R24
S10017,F03,R36
S00338,F03,R36
S11385,F03,R40
S04446,F03,R24
S11132,F03,R40
S11145,F03,Z14
S10894,F03,R24
S10893,F03,R24
S01229,F03,R24
S10325,F03,Z14
S02150,F03,R24
S01832,F03,R23
S04602,F03,R24
S11378,F03,R24
S07404,F03,R40
S03032,F03,R29
S05998,F03,R24
S11171,F03,R36
S09591,F03,R36
S11236,F03,Z14
S03670,F03,R29
S11532,F03,R23
S09008,F03,R40
S10688,F03,R36
S11839,F03,R36
S11084,F03,R36
S02395,F03,R24
S10877,F03,R29
S10377,F03,R24
S09811,F03,R23
S12027,F03,R36
S11363,F03,R24
S07185,F03,R29
S11083,F03,R36
S11471,F03,R24
S11332,F03,R23
S03194,F03,R40
S11019,F03,Z14
S02467,F03,R24
S11405,F03,R40
S06459,F03,R36
S09998,F03,R24
S00510,F03,R40
S01043,F03,R23
S07317,F03,R29
S04506,F03,R36
S10014,F03,R36
S11835,F03,R29
S09777,F03,Z14
S10137,F03,R29
S09952,F03,R24
S09888,F03,R23
S09763,F03,R36
S09600,F03,R36
S11189,F03,R29
S10596,F03,R24
S11955,F03,R40
S11201,F03,R40
S08671,F03,R29
S01542,F03,R24
S03146,F03,R23
S09705,F03,R36
S01462,F03,R24
S09903,F03,R36
S11415,F03,R29
S11187,F03,Z14
S06647,F03,Z14
S06996,F03,R36
S11742,F03,R40
S02502,F03,R40
S07275,F03,R23
S09708,F03,R23
S11595,F03,R29
S09849,F03,R24
S01927,F03,Z14
S11836,F03,R23
S01504,F03,R23
S11036,F03,Z14
S09814,F03,R29
S11426,F03,R24
S11940,F03,Z14
S07029,F03,R36
S11110,F03,R23
S10414,F03,Z14
S01249,F03,R24
S11244,F03,R24
S10895,F03,R24
S10579,F03,R40
S11249,F03,R29
S03124,F03,R29
S10916,F03,R23
S08649,F03,R29
S09766,F03,R36
S10811,F03,R29
S12126,F03,R40
S12128,F03,R40
S00382,F03,Z14
S07463,F03,Z14
S06564,F03,R36
S10683,F03,R40
S11290,F03,R24
S10140,F03,R24
S11629,F03,Z14
S09534,F03,R36
S09795,F03,R23
S10939,F03,R40
S09258,F03,R36
S10964,F03,R36
S08425,F03,Z14
S11773,F03,R40
S10845,F03,R36
S10326,F03,R23
S11565,F03,Z14
S11270,F03,R40
S07923,F03,R24
S10923,F03,R40
S10843,F03,R36
S02886,F03,R40
S10958,F03,R29
S11072,F03,R24
S09332,F03,R29
S07310,F03,R36
S07447,F03,R36
S07283,F03,R36
S11785,F03,R40
S11268,F03,R24
S05940,F03,R40
S10740,F03,R40
S07553,F03,R40
S10953,F03,R29
S05848,F03,R40
S02527,F03,R36
S08984,F03,R24
S00475,F03,R40
S09984,F03,R29
S07984,F03,Z14
S10632,F03,R29
S11606,F03,Z14
S06484,F03,R24
S06931,F03,R24
S03232,F03,R24
S06197,F03,R24
S05250,F03,R23
S10897,F03,R24
S09375,F03,R40
S06041,F03,R40
S09813,F03,R36
S09234,F03,Z14
S03365,F03,R24
S11192,F03,Z14
S10532,F03,R36
S11034,F03,Z14
S09999,F03,R23
S11589,F03,R40
S04037,F03,R40
S09313,F03,R29
S11020,F03,R40
S00999,F03,R23
S11958,F03,R29
S11846,F03,R24
S11600,F03,R24
S06939,F03,R24
S06954,F03,R40
S11649,F03,R24
S01396,F03,R36
S07586,F03,R24
S11864,F03,R29
S10914,F03,Z14
S11232,F03,Z14
S11978,F03,Z14
S09566,F03,R36
S11283,F03,R24
S02922,F03,R40
S07004,F03,R24
S00960,F03,R29
S11648,F03,R24
S07676,F03,R36
S10944,F03,R40
S10465,F03,R36
S10758,F03,R36
S07882,F03,R36
S01153,F03,R24
S01285,F03,R40
S11765,F03,R36
S11392,F03,R36
S01684,F03,Z14
S05869,F03,R23
S11774,F03,R36
S09883,F03,R40
S12052,F03,R40
S09983,F03,R29
S02717,F03,R24
S01573,F03,Z14
S11891,F03,R36
S10962,F03,R36
S01331,F03,R40
S10917,F03,R23
S09406,F03,R40
S02076,F03,R23
S11140,F03,Z14
S08520,F03,R36
S11169,F03,Z14
S10047,F03,R23
S11138,F03,R24
S11306,F03,R23
S12102,F03,R23
S11895,F03,R24
S10646,F03,R23
S03084,F03,R29
S10987,F03,R24
S11775,F03,R36
S11366,F03,R23
S11147,F03,Z14
S11658,F03,R24
S08998,F03,R36
S10963,F03,R36
S01405,F03,R36
S09601,F03,R36
S02140,F03,R23
S10350,F03,R29
S07386,F03,R36
S11149,F03,Z14
S10481,F03,R24
S09852,F03,R36
S04607,F03,R36
S11509,F03,R29
S02774,F03,R24
S11340,F03,R36
S00799,F03,Z14
S11941,F03,R29
S10237,F03,R29
S11963,F03,R24
S10490,F03,R36
S11911,F03,R40
S11578,F03,R29
S11056,F03,R29
S10502,F03,R24
S07953,F03,R36
S11416,F03,R36
S10321,F03,R40
S11440,F03,R40
S10015,F03,R36
S09018,F03,R23
S05906,F03,R29
S03388,F03,R24
S10909,F03,R36
S06156,F03,R24
S07804,F03,R40
S11804,F03,R40
S10905,F03,R23
S10714,F03,Z14
S06473,F03,R36
S05334,F03,R23
S11033,F03,Z14
S04700,F03,R29
S02929,F03,R24
S12080,F03,R40
S10966,F03,R36
S11853,F03,R40
S11455,F03,R24
S11553,F03,R36
S06618,F03,R29
S10945,F03,R40
S05701,F03,R24
S11647,F03,R24
S11001,F03,Z14
S07400,F03,R40
S10679,F03,R36
S12136,F03,R40
S10818,F03,R36
S03281,F03,R40
S08821,F03,R24
S11588,F03,R40
S10919,F03,R23
S07467,F03,R40
S00945,F03,R29
S11953,F03,Z14
S03832,F03,R23
S10597,F03,R24
S02461,F03,Z14
S00257,F03,R36
S11966,F03,R36
S09020,F03,R40
S05931,F03,R23
S12023,F03,R40
S11787,F03,R36
S05974,F03,R40
S08928,F03,R23
S11679,F03,R36
S11442,F03,R24
S10983,F03,R23
S11388,F03,R40
S11841,F03,R23
S11250,F03,R40
S02393,F03,R24
S02948,F03,R24
S11247,F03,Z14
S08718,F03,R23
S11837,F03,R23
S01190,F03,R36
S11425,F03,Z14
S10864,F03,R36
S01132,F03,R23
S03333,F03,Z14
S10846,F03,R36
S02167,F03,R40
S00794,F03,Z14
S10920,F03,R23
S11400,F03,R23
S11700,F03,R36
S10121,F03,R40
S11746,F03,Z14
S01749,F03,Z14
S02530,F03,R36
S12119,F03,R24
S11599,F03,R24
S11204,F03,R29
S03089,F03,Z14
S09370,F03,R40
S10869,F03,R40
S10361,F03,R36
S11689,F03,R40
S04414,F03,R40
S09409,F03,Z14
S11803,F03,R24
S11508,F03,R29
S05634,F03,R36
S11522,F03,Z14
S07373,F03,R36
S09478,F03,R40
S08813,F03,R40
S05620,F03,R29
S02018,F03,R24
S11909,F03,R40
S11390,F03,R29
S11068,F03,R29
S01876,F03,Z14
S10594,F03,R23
S11101,F03,R36
S10901,F03,R24
S10464,F03,R36
S01786,F03,Z14
S08249,F03,R36
S06321,F03,R36
S09664,F03,R40
S00891,F03,R29
S11957,F03,R23
S10947,F03,R29
S11579,F03,R29
S09800,F03,R29
S11045,F03,R24
S11459,F03,R24
S07997,F03,Z14
S11995,F03,Z14
S02844,F03,R29
S10924,F03,R29
S05588,F03,R40
S11429,F03,R23
S09200,F03,R36
S05788,F03,R40
S10687,F03,R36
S10415,F03,R36
S11305,F03,R29
S10967,F03,R36
S04481,F03,R24
S05510,F03,R24
S11554,F03,R36
S10886,F03,R24
S10984,F03,R23
S05624,F03,R40
S10974,F03,R36
S01161,F03,R24
S08964,F03,Z14
S10925,F03,R29
S10834,F03,R29
S07402,F03,R29
S10950,F03,R29
S11684,F03,R24
S00898,F03,R29
S08467,F03,R36
S12029,F03,R23
S08122,F03,Z14
S11777,F03,R36
S01143,F03,R24
S10857,F03,R40
S10932,F03,R24
S11931,F03,R24
S10960,F03,R29
S07495,F03,R40
S10190,F03,R29
S11446,F03,R23
S03948,F03,R29
S10170,F03,R40
S11567,F03,R23
S11678,F03,R36
S11569,F03,R24
S12088,F03,R29
S06768,F03,R24
S10036,F03,R23
S04040,F03,R24
S07303,F03,Z14
S03896,F03,Z14
S09237,F03,R24
S02956,F03,R23
S07026,F03,R40
S08726,F03,R40
S11294,F03,R40
S10117,F03,R29
S07231,F03,R23
S09921,F03,R36
S11756,F03,Z14
S02622,F03,R24
S11969,F03,R23
S10874,F03,R23
S11141,F03,Z14
S11461,F03,R40
S11014,F03,R24
S10898,F03,R24
S00759,F03,Z14
S02338,F03,Z14
S04516,F03,R40
S10868,F03,R40
S08093,F03,Z14
S11396,F03,R40
S07661,F03,R40
S11763,F03,R24
S11329,F03,R36
S11998,F03,R23
S05013,F03,R40
S03151,F03,R36
S00613,F03,Z14
S02979,F03,R29
S10965,F03,R36
S11466,F03,R36
S11210,F03,R29
S12072,F03,R29
S00684,F03,Z14
S11695,F03,R29
S11778,F03,R29
S11002,F03,Z14
S02685,F03,R24
S06793,F03,R40
S10885,F03,R24
S10491,F03,R23
S11044,F03,R24
S06265,F03,R36
S01973,F03,R23
S02996,F03,R29
S11030,F03,R24
S05953,F03,R24
S12067,F03,Z14
S11772,F03,R40
S06559,F03,R24
S12084,F03,R40
S09911,F03,R40
S11144,F03,Z14
S11190,F03,R23
S10634,F03,Z14
S08521,F03,R36
S11087,F03,R29
S11776,F03,R36
S10935,F03,R40
S09079,F03,Z14
S12075,F03,R40
S02291,F03,R24
S09440,F03,R40
S10922,F03,R40
S09207,F03,R24
S10934,F03,R40
S06159,F03,Z14
S11788,F03,R36
S10398,F03,R23
S11587,F03,R23
S12137,F03,R29
S10468,F03,R24
S10998,F03,R36
S03079,F03,R29
S08618,F03,R40
S07473,F03,R36
S11143,F03,Z14
S11031,F03,R24
S01544,F03,Z14
S10637,F03,Z14
S08534,F03,R24
S10097,F03,R24
S11766,F03,R24
S11767,F03,R24
S11769,F03,R24
S11770,F03,R24
S11351,F03,R24
S11414,F03,R36
S11755,F03,R40
S10405,F03,R29
